ID	Language_ID	Reference_ID	DomainOfKnowledge	BasicInformationType	Status
stan1295-56	stan1295	Bidese-2014-the_vulnerability_of_the	Grammar	Grammar Sketch	computed
stan1295-57	stan1295	Bierwisch-1967-syntactic_features_in_morphology	Grammar	Grammar Sketch	computed
stan1295-58	stan1295	Bisiada-2013-changing_conventions_in_german	Grammar	Grammar Sketch	computed
stan1295-59	stan1295	Bithell-1952-german_pronunciation_and_phonology	Phonology		computed
stan1295-60	stan1295	Bittner-2000-gender_classification_and_the	Genealogy	Affiliation	computed
stan1295-61	stan1295	Boas-1978-lexical_entries_for_verbs	Lexicon	Dictionary	computed
stan1295-62	stan1295	Boas-1981-lexical_entries_for_verbs	Lexicon	Dictionary	computed
stan1295-63	stan1295	Boas-2009-the_life_and_death	Grammar	Grammar Sketch	annotated
stan1295-64	stan1295	Bohnacker-2007-how_to_start_a	Grammar	Reference Grammar	computed
stan1295-65	stan1295	Bohnacker-2008-the_clauseinitial_position_in	Grammar	Grammar Sketch	computed
stan1295-66	stan1295	Borgert-1975-a_german_reference_grammar	Grammar	Reference Grammar	computed
stan1295-67	stan1295	Bosch-2017-the_timecourse_of_morphosyntactic	Grammar	Reference Grammar	computed
stan1295-68	stan1295	Bott-2018-german_particle_verbs_compositionality	Grammar	Reference Grammar	computed
stan1295-69	stan1295	Boyes-Braem-2001-a_multimedia_bilingual_database	Lexicon	Dictionary	computed
stan1295-70	stan1295	Brandt-2009-the_discourse_bases_of	Grammar	Grammar Sketch	computed
stan1295-71	stan1295	Brandt-2011-german_childrens_productivity_with	Grammar	Grammar Sketch	computed
stan1295-72	stan1295	Braun-1990-verbfirst_and_verbthird_declarative	Grammar	Grammar Sketch	computed
stan1295-73	stan1295	Braun-2006-phonetics_and_phonology_of	Phonology		computed
stan1295-74	stan1295	Braun-2010-when_are_german_girls	Grammar	Reference Grammar	computed
stan1295-75	stan1295	Bredel-2006-zur_geschichte_der_interpunktionskonzeptionen	Grammar	Reference Grammar	computed
stan1295-76	stan1295	Brekle-1981-biobibliographical_handbook_of_18thcentury	Grammar	Reference Grammar	computed
stan1295-77	stan1295	Breul-1906-a_german_and_english	Lexicon	Dictionary	computed
stan1295-78	stan1295	Brinkmann-1995-the_locative_alternation_its	Grammar	Grammar Sketch	computed
stan1295-79	stan1295	Brinkmann-1997-the_locative_alternation_in	Grammar	Grammar Sketch	computed
stan1295-80	stan1295	Brockhaus-1995-final_devoicing_in_the	Phonology		computed
stan1295-81	stan1295	Bross-2018-the_clausal_syntax_of	Grammar	Reference Grammar	computed
stan1295-82	stan1295	Bross-2019-the_clausal_syntax_of	Grammar	Reference Grammar	computed
stan1295-83	stan1295	Bross-2020-encoding_different_types_of	Grammar	Reference Grammar	computed
stan1295-84	stan1295	Brunt-1983-the_influence_of_the	Lexicon	Wordlist	computed
stan1295-85	stan1295	Brüser-2001-worterbuch_des_kreols_der	Lexicon	Dictionary	computed
stan1295-86	stan1295	Buck-1999-a_concise_german_grammar	Grammar	Reference Grammar	annotated
stan1295-87	stan1295	Burchardt-2012-die_deutsche_sprache_im	Grammar	Grammar Sketch	computed
stan1295-88	stan1295	Burchert-2003-does_morphology_make_the	Grammar	Grammar Sketch	computed
stan1295-89	stan1295	Burger-2010-phraseologie_eine_einfuhrung_am	Grammar	Grammar Sketch	computed
stan1295-90	stan1295	Businger-1966-zur_syntax_von_haben	Grammar	Reference Grammar	computed
stan1295-91	stan1295	Butler-1973-a_technique_for_sentence	Grammar	Grammar Sketch	computed
stan1295-92	stan1295	Büring-2001-the_syntax_and_semantics	Grammar	Reference Grammar	computed
stan1295-93	stan1295	Cabredo_Hofherr-2012-prepositiondeterminer_amalgams_in_german	Grammar	Reference Grammar	computed
stan1295-94	stan1295	Cahill-1997-the_inflectional_phonology_of	Phonology		computed
stan1295-95	stan1295	Calanas_Continente-1998-a_functionallexematic_description_of	Grammar	Reference Grammar	computed
stan1295-96	stan1295	Calderwood-Schnorr-1996-collins_pocket_german_dictionary	Lexicon	Dictionary	computed
stan1295-97	stan1295	Campanini-2012-the_syntax_and_semantics	Grammar	Reference Grammar	computed
stan1295-98	stan1295	Caratini-2009-vowel_and_consonantal_quantity	Phonology		computed
stan1295-99	stan1295	Carroll-1993-the_representation_of_spatial	Grammar	Grammar Sketch	computed
stan1295-100	stan1295	Choi-1998-optimizing_structure_in_context	Grammar	Grammar Sketch	computed
stan1295-101	stan1295	Clahsen-1992-the_acquisition_of_agreement	Grammar	Grammar Sketch	computed
stan1295-102	stan1295	Clahsen-2003-derivational_morphology_in_the	Grammar	Grammar Sketch	computed
stan1295-103	stan1295	Clardy-1954-a_description_and_analysis	Grammar	Grammar Sketch	annotated
stan1295-104	stan1295	Classen-1979-on_the_trichotomic_time	Grammar	Grammar Sketch	computed
stan1295-105	stan1295	Clifton-2001-review_of_the_phonology	Phonology		computed
stan1295-106	stan1295	Clyne-1978-2_some_germanenglish_language	Grammar	Grammar Sketch	computed
stan1295-107	stan1295	Cochran-1974-cochrans_german_review_grammar	Grammar	Reference Grammar	computed
stan1295-108	stan1295	Collings-1990-2_the_acquisition_of	Grammar	Reference Grammar	computed
stan1295-109	stan1295	Colonna-2012-information_structure_effects_on	Grammar	Grammar Sketch	computed
stan1295-110	stan1295	Coniglio-2019-relative_clause_marking_in	Grammar	Grammar Sketch	computed
stan1295-111	stan1295	Connolly-1987-case_grammar_and_word	Grammar	Reference Grammar	computed
stan1295-112	stan1295	Cramer-2009-construction_of_a_german	Grammar	Reference Grammar	computed
stan1295-113	stan1295	Crysmann-2003-on_the_treatment_of	Grammar	Reference Grammar	computed
stan1295-114	stan1295	Crysmann-2005-relative_clause_extraposition_in	Grammar	Grammar Sketch	computed
stan1295-115	stan1295	Curme-1905-a_grammar_of_the	Grammar	Reference Grammar	computed
stan1295-116	stan1295	Curme-1922-a_grammar_of_the	Grammar	Reference Grammar	computed
stan1295-117	stan1295	Curme-1952-a_grammar_of_the	Grammar	Reference Grammar	computed
stan1295-118	stan1295	Curme-1964-a_grammar_of_the	Grammar	Reference Grammar	computed
stan1295-119	stan1295	Dalby-1965-lexicon_of_the_mediaeval	Lexicon	Dictionary	computed
stan1295-120	stan1295	De_Kuthy-2002-discontinuous_nps_in_german	Grammar	Reference Grammar	computed
stan1295-121	stan1295	Delisle-1993-anaphora_in_german_discourse	Grammar	Grammar Sketch	computed
stan1295-122	stan1295	Demske-2018-syntax_and_discourse_structure	Grammar	Reference Grammar	computed
stan1295-123	stan1295	Diedrichsen-2014-a_role_and_reference	Grammar	Reference Grammar	computed
stan1295-124	stan1295	Dinnsen-1971-the_three_degrees_of	Phonology		computed
stan1295-125	stan1295	Dipper-2008-computing_distance_and_relatedness	Text		computed
stan1295-126	stan1295	Dodd-2003-modern_german_grammar	Grammar	Reference Grammar	computed
stan1295-127	stan1295	Dodd-2003-modern_german_grammar_a	Grammar	Reference Grammar	annotated
stan1295-128	stan1295	Doherty-2001-discourse_relators_and_the	Grammar	Grammar Sketch	computed
stan1295-129	stan1295	Doherty-2001-discourse_theory_and_the	Grammar	Grammar Sketch	computed
stan1295-130	stan1295	Dombrowski-2005-acoustic_patterns_and_communicative	Grammar	Grammar Sketch	computed
stan1295-131	stan1295	Donaldson-2006-german_an_essential_grammar	Grammar	Reference Grammar	annotated
stan1295-132	stan1295	Donaldson-2007-german_an_essential_grammar	Grammar	Reference Grammar	computed
stan1295-133	stan1295	Donhauser-2007-the_mouton_interactive_introduction	Grammar	Grammar Sketch	computed
stan1295-134	stan1295	Dressler-1998-bloomer_robert_1994_systemcongruity	Grammar	Grammar Sketch	computed
stan1295-135	stan1295	Durrell-1996-hammers_german_grammar_and	Grammar	Reference Grammar	computed
stan1295-136	stan1295	Durrell-2002-hammers_german_grammar_and	Grammar	Reference Grammar	annotated
stan1295-137	stan1295	Durrell-2021-hammers_german_grammar_and	Grammar	Reference Grammar	computed
stan1295-138	stan1295	Dürscheid-2002-klaus_welke_deutsche_syntax	Grammar	Reference Grammar	computed
stan1295-139	stan1295	Ebling-2015-factors_to_consider_when	Grammar	Grammar Sketch	computed
stan1295-140	stan1295	Ebobissé-1988-les_verbaux_du_dangaleat	Lexicon	Dictionary	computed
stan1295-141	stan1295	Ehrich-2000-sortale_bedeutung_und_argumentstruktur	Grammar	Grammar Sketch	computed
stan1295-142	stan1295	Eichhorn-1854-the_practical_german_grammar	Grammar	Reference Grammar	computed
stan1295-143	stan1295	Eikel-1954-new_braunfels_texas_german	Grammar	Grammar Sketch	annotated
stan1295-144	stan1295	Eisenberg-1983-writing_system_and_morphology	Grammar	Grammar Sketch	computed
stan1295-145	stan1295	Eisman-2014-heidrun_hegewald_and_the	Genealogy	Affiliation	computed
stan1295-146	stan1295	Elgersma-1999-optimality_theory_and_natural	Grammar	Grammar Sketch	computed
stan1295-147	stan1295	Ellert-2013-information_structure_affects_the	Grammar	Grammar Sketch	computed
stan1295-148	stan1295	Elsner-2015-adverbial_morphology_in_german	Grammar	Grammar Sketch	computed
stan1295-149	stan1295	Emonds-2007-discovering_syntax_clause_structures	Grammar	Reference Grammar	computed
stan1295-150	stan1295	Engel-1977-syntax_der_deutschen_gegenwartssprache	Grammar	Reference Grammar	computed
stan1295-151	stan1295	Engel-1994-syntax_der_deutschen_gegenwartssprache	Grammar	Reference Grammar	computed
stan1295-152	stan1295	Engel-2009-syntax_der_deutschen_gegenwartssprache	Grammar	Reference Grammar	computed
stan1295-153	stan1295	Eppler-2010-emigranto_the_syntax_of	Grammar	Reference Grammar	computed
stan1295-154	stan1295	Evert-2017-the_impact_of_translation	Text		computed
stan1295-155	stan1295	Fagan-1992-the_syntax_and_semantics	Grammar	Reference Grammar	computed
stan1295-156	stan1295	Fagan-2009-german_a_linguistic_introduction	Grammar	Grammar Sketch	computed
stan1295-157	stan1295	Falk-2011-object_pronouns_in_german	Grammar	Reference Grammar	computed
stan1295-158	stan1295	Fanselow-2004-cyclic_phonologysyntax_interaction_movement	Grammar	Reference Grammar	computed
stan1295-159	stan1295	Fanselow-2004-cyclic_phonologysyntaxinteraction_ppt_movement	Grammar	Reference Grammar	computed
stan1295-160	stan1295	Farasyn-2018-the_interplay_between_genre	Grammar	Reference Grammar	computed
stan1295-161	stan1295	Featherston-2005-magnitude_estimation_and_what	Grammar	Reference Grammar	computed
stan1295-162	stan1295	Fehrmann-2013-exploiting_space_in_german	Grammar	Grammar Sketch	computed
stan1295-163	stan1295	Fetzer-2012-discourse_relations_in_english	Grammar	Grammar Sketch	computed
stan1295-164	stan1295	Finkbeiner-2015-the_grammar_and_pragmatics	Grammar	Reference Grammar	computed
stan1295-165	stan1295	Follen-1828-practical_grammar_of_the	Grammar	Reference Grammar	computed
stan1295-166	stan1295	Fox-1984-german_intonation_an_outline	Grammar	Grammar Sketch	computed
stan1295-167	stan1295	Fox-2005-the_structure_of_german	Grammar	Grammar Sketch	computed
stan1295-168	stan1295	Freiwald-2023-theme_in_english_and	Grammar	Grammar Sketch	computed
stan1295-169	stan1295	Frey-2004-a_medial_topic_position	Genealogy	Affiliation	computed
stan1295-170	stan1295	Frey-2004-notes_on_the_syntax	Grammar	Reference Grammar	computed
stan1295-171	stan1295	Frey-2004-the_grammarpragmatics_interface_and	Grammar	Reference Grammar	computed
stan1295-172	stan1295	Fritz-1992-remarks_on_the_structure	Grammar	Grammar Sketch	computed
stan1295-173	stan1295	Fuhrhop-2011-the_interaction_between_morphology	Grammar	Reference Grammar	computed
stan1295-174	stan1295	Færch-1984-ja_und__og	Grammar	Grammar Sketch	computed
stan1295-175	stan1295	Féry-1991-german_schwa_in_prosodic	Grammar	Grammar Sketch	computed
stan1295-176	stan1295	Féry-2003-final_devoicing_and_the	Lexicon	Dictionary	computed
stan1295-177	stan1295	Féry-2005-the_focus_and_prosodic	Grammar	Grammar Sketch	computed
stan1295-178	stan1295	Gagarina-2012-discourse_cohesion_in_the	Grammar	Grammar Sketch	computed
stan1295-179	stan1295	Gerdes-2001-word_order_in_german	Grammar	Reference Grammar	computed
stan1295-180	stan1295	Geyken-2015-a_living_text_archive	Text		computed
stan1295-181	stan1295	Giegerich-1985-metrical_phonology_and_phonological	Grammar	Grammar Sketch	computed
stan1295-182	stan1295	Giegerich-1989-syllable_structure_and_lexical	Grammar	Grammar Sketch	computed
stan1295-183	stan1295	Giinthner-2000-from_concessive_connector_to	Grammar	Grammar Sketch	computed
stan1295-184	stan1295	Gilbert-1970-6_the_phonology_morphology	Grammar	Grammar Sketch	computed
stan1295-185	stan1295	Giusti-1990-the_syntax_of_floating	Grammar	Reference Grammar	computed
stan1295-186	stan1295	Giusti-1991-zuinfinitivals_and_sentential_structure	Grammar	Grammar Sketch	computed
stan1295-187	stan1295	Goebel-2000-from_text_to_example	Text		computed
stan1295-188	stan1295	Golato-2002-grammar_and_interaction_reported	Grammar	Reference Grammar	computed
stan1295-189	stan1295	Golston-1996-zero_morphology_and_constraint	Grammar	Grammar Sketch	computed
stan1295-190	stan1295	Golston-1998-the_structure_of_the	Grammar	Grammar Sketch	computed
stan1295-191	stan1295	Goss-2000-the_evolution_of_a	Grammar	Grammar Sketch	computed
stan1295-192	stan1295	Grabe-1998-comparative_intonational_phonology_english	Phonology		computed
stan1295-193	stan1295	Grestenberger-2015-number_marking_in_german	Grammar	Grammar Sketch	computed
stan1295-194	stan1295	Grewendorf-1993-german_a_grammatical_sketch	Grammar	Grammar Sketch	computed
stan1295-195	stan1295	Grewendorf-1995-german_a_grammatical_sketch	Grammar	Grammar Sketch	computed
stan1295-196	stan1295	Grice-2005-german_intonation_in_autosegmentalmetrical	Phonology		computed
stan1295-197	stan1295	Grijzenhout-1998-the_role_of_coronal	Grammar	Grammar Sketch	computed
stan1295-198	stan1295	Grimm-1822-deutsche_grammatik_german_grammar	Grammar	Reference Grammar	computed
stan1295-199	stan1295	Grimm-1999-deutsches_worterbuch_von_jacob	Lexicon	Dictionary	computed
stan1295-200	stan1295	Grimm-2006-intonational_patterns_and_word	Grammar	Grammar Sketch	computed
stan1295-201	stan1295	Grosz-2005-dn_in_viennese_german	Grammar	Reference Grammar	computed
stan1295-202	stan1295	Grote-2000-a_german_prepositional_phrase	Grammar	Reference Grammar	computed
stan1295-203	stan1295	Grove-2016-article_selection_and_anaphora	Grammar	Grammar Sketch	computed
stan1295-204	stan1295	Gut-2001-crosslinguistic_structures_in_the	Phonology		computed
stan1295-205	stan1295	Gut-2008-phonology_of_advanced_learners	Phonology		computed
stan1295-206	stan1295	Gut-2009-nonnative_speech_a_corpusbased	Phonology		computed
stan1295-207	stan1295	Gut-2010-88_nonnative_speech_a	Phonology		computed
stan1295-208	stan1295	Gutzmann-2012-expressive_intensifiers_in_german	Grammar	Reference Grammar	computed
stan1295-209	stan1295	Gärtner-2000-what_do_reduced_pronominals	Grammar	Reference Grammar	computed
stan1295-210	stan1295	Günthner-2000-from_concessive_connector_to	Grammar	Grammar Sketch	computed
stan1295-211	stan1295	Günthner-2003-lexicalgrammatical_variation_and_development	Grammar	Grammar Sketch	computed
stan1295-212	stan1295	Habermann-2007-aspects_of_a_diachronic	Grammar	Reference Grammar	computed
stan1295-213	stan1295	Hachem-2015-multifunctionality_the_internal_and	Grammar	Reference Grammar	computed
stan1295-214	stan1295	Haider-1993-deutsche_syntax__generativ	Grammar	Reference Grammar	computed
stan1295-215	stan1295	Haider-1997-projective_economy_on_the	Grammar	Grammar Sketch	computed
stan1295-216	stan1295	Haider-2010-the_syntax_of_german	Grammar	Reference Grammar	computed
stan1295-217	stan1295	Hale-1966-review_of_syntax_des	Grammar	Reference Grammar	computed
stan1295-218	stan1295	Hall-1989-lexical_phonology_and_the	Phonology		computed
stan1295-219	stan1295	Hall-1992-syllable_structure_and_syllablerelated	Grammar	Grammar Sketch	computed
stan1295-220	stan1295	Hall-1993-the_phonology_of_german	Phonology		computed
stan1295-221	stan1295	Hall-1998-a_note_on_secondary	Grammar	Grammar Sketch	computed
stan1295-222	stan1295	Hall-1999-phonotactics_and_the_prosodic	Grammar	Grammar Sketch	computed
stan1295-223	stan1295	Hall-1999-the_phonological_word_a	Phonology		computed
stan1295-224	stan1295	Hall-2002-loanword_nativization_in_modern	Phonology		computed
stan1295-225	stan1295	Hall-2003-modern_german_pronunciation_an	Grammar	Grammar Sketch	computed
stan1295-226	stan1295	Hall-2014-the_phonology_of_westphalian	Phonology		computed
stan1295-227	stan1295	Hall-2022-velar_fronting_in_german	Phonology		computed
stan1295-228	stan1295	Hamm-2009-donhauser_karin__annette	Grammar	Grammar Sketch	computed
stan1295-229	stan1295	Hammond-1981-a_german_reference_grammar	Grammar	Reference Grammar	computed
stan1295-230	stan1295	Hanink-2018-postsyntactic_inflection_of_the	Grammar	Grammar Sketch	computed
stan1295-231	stan1295	Happ-2014-deutsche_gebardensprache_ein_lehr	Text		computed
stan1295-232	stan1295	Harbert-1977-clause_union_and_german	Grammar	Grammar Sketch	computed
stan1295-233	stan1295	Harren-2007-11_arbeitstagung_zur_gesprachsforschung	Grammar	Grammar Sketch	computed
stan1295-234	stan1295	Hartmann-2006-comparative_studies_in_germanic	Grammar	Reference Grammar	computed
stan1295-235	stan1295	Hartmann-2018-derivational_morphology_in_flux	Grammar	Grammar Sketch	computed
stan1295-236	stan1295	Haselbach-2011-deconstructing_the_meaning_of	Grammar	Reference Grammar	computed
stan1295-237	stan1295	Hasse-2019-the_interaction_of_phonological	Phonology		computed
stan1295-238	stan1295	Hawkins-1995-argumentpredicate_structure_in_grammar	Grammar	Reference Grammar	computed
stan1295-239	stan1295	Heid-2008-providing_corpus_data_for	Lexicon	Dictionary	computed
stan1295-240	stan1295	Heide-2010-the_influence_of_morphological	Grammar	Grammar Sketch	computed
stan1295-241	stan1295	Heinz-1994-argument_structure_and_case	Grammar	Grammar Sketch	computed
stan1295-242	stan1295	Hempl-1898-german_orthography_and_phonology	Phonology		computed
stan1295-243	stan1295	Hendriks-2005-structuring_space_in_discourse	Grammar	Grammar Sketch	computed
stan1295-244	stan1295	Hickey-2000-on_the_phonology_of	Phonology		computed
stan1295-245	stan1295	Hinrichs-1989-subcategorization_and_vp_structure	Grammar	Grammar Sketch	computed
stan1295-246	stan1295	Hinterhölzl-2018-implications_of_displaced_affixes	Grammar	Grammar Sketch	computed
stan1295-247	stan1295	Hoeing-1997-the_phrase_structure_of	Grammar	Grammar Sketch	computed
stan1295-248	stan1295	Hohaus-2021-comparisons_of_equality_with	Genealogy	Affiliation	computed
stan1295-249	stan1295	Hohenstein-2005-interactional_expectations_and_lingusitic	Grammar	Grammar Sketch	computed
stan1295-250	stan1295	Hoole-2002-articulatory_analysis_of_the	Phonology		computed
stan1295-251	stan1295	Hopp-2011-internal_and_external_factors	Grammar	Grammar Sketch	computed
stan1295-252	stan1295	House-1996-contrastive_discourse_analysis_and	Grammar	Grammar Sketch	computed
stan1295-253	stan1295	House-2011-linking_constructions_in_english	Text		computed
stan1295-254	stan1295	Hüning-2010-adjective__noun_constructions	Grammar	Reference Grammar	computed
stan1295-255	stan1295	Ickelsamer-1535-teutsche_grammatica	Grammar	Grammar Sketch	annotated
stan1295-256	stan1295	Iverson-1992-the_place_of_structure	Grammar	Grammar Sketch	computed
stan1295-257	stan1295	Jacobs-1986-the_syntax_of_focus	Grammar	Reference Grammar	computed
stan1295-258	stan1295	Jacobs-2018-on_main_clause_phenomena	Grammar	Grammar Sketch	computed
stan1295-259	stan1295	Jambressisch-1742-lexicon_latinum_lexicon_latinum	Lexicon	Dictionary	annotated
stan1295-260	stan1295	Jarnatovskaja-1984-zu_stilistischen_moglichkeiten_der	Grammar	Grammar Sketch	computed
stan1295-261	stan1295	Jessen-1995-acoustic_correlates_of_word	Phonology		computed
stan1295-262	stan1295	Jessen-1998-phonetics_and_phonology_of	Phonology		computed
stan1295-263	stan1295	Jessen-1999-phonetics_and_phonology_of	Phonology		computed
stan1295-264	stan1295	Jobin-2011-semantically_driven_change_in	Grammar	Grammar Sketch	computed
stan1295-265	stan1295	Johnson-1986-a_gpsg_account_of	Grammar	Grammar Sketch	computed
stan1295-266	stan1295	Jones-1976-a_lexicon_of_french	Lexicon	Dictionary	computed
stan1295-267	stan1295	Jones-2000-german_lexicography_in_the	Grammar	Reference Grammar	computed
stan1295-268	stan1295	Jones-2005-a_frequency_dictionary_of	Lexicon	Dictionary	computed
stan1295-269	stan1295	Jones-2006-a_frequency_dictionary_of	Lexicon	Dictionary	computed
stan1295-270	stan1295	Joswig-2005-review_of_the_phonology	Phonology		computed
stan1295-271	stan1295	Junker-1965-persischdeutsches_worterbuch	Lexicon	Dictionary	computed
stan1295-272	stan1295	Junker-1966-persischdeutsches_worterbuch	Lexicon	Dictionary	computed
stan1295-273	stan1295	Junker-2002-persischdeutsch_worterbuch	Lexicon	Dictionary	computed
stan1295-274	stan1295	Jurish-2008-finding_canonical_forms_for	Text		computed
stan1295-275	stan1295	Kabak-2006-the_phonology_and_morphology	Grammar	Grammar Sketch	computed
stan1295-276	stan1295	Kabatnik-2022-relationship_management_by_means	Genealogy	Affiliation	computed
stan1295-277	stan1295	Kameyama-2004-modal_expressions_in_japanese	Grammar	Grammar Sketch	computed
stan1295-278	stan1295	Karagjosova-2004-the_meaning_and_function	Grammar	Grammar Sketch	computed
stan1295-279	stan1295	Kasper-2015-3_linking_syntax_and	Grammar	Reference Grammar	computed
stan1295-280	stan1295	Kastovsky-1994-typological_differences_between_english	Grammar	Grammar Sketch	computed
stan1295-281	stan1295	Kathol-1995-linearizationbased_german_syntax	Grammar	Reference Grammar	computed
stan1295-282	stan1295	Kathol-1999-linearization_vs_phrase_structure	Grammar	Grammar Sketch	computed
stan1295-283	stan1295	Kathol-2001-positional_effects_in_a	Grammar	Reference Grammar	computed
stan1295-284	stan1295	Kaufmann-2005-the_auin_translated_from	Text		computed
stan1295-285	stan1295	Kauschke-2007-characteristics_of_maternal_input	Lexicon	Wordlist	computed
stan1295-286	stan1295	Kempen-2003-6_dutch_and_german	Grammar	Reference Grammar	computed
stan1295-287	stan1295	Kienpointner-2005-semantic_roles_within_a	Grammar	Reference Grammar	computed
stan1295-288	stan1295	Kirkness-2006-die_grimmschen_handexemplare_des	Lexicon	Dictionary	computed
stan1295-289	stan1295	Kirsten-1991-adolf_lamprechts_german_grammar	Grammar	Reference Grammar	computed
stan1295-290	stan1295	Klaper-2013-building_a_germansimple_german	Text		computed
stan1295-291	stan1295	Klein-2002-the_argumenttime_structure_of	Grammar	Grammar Sketch	computed
stan1295-292	stan1295	Knop-2017-chapter_7_the_family	Genealogy	Affiliation	computed
